1,1,1284758369,w6R1Iidl3Xzi4FsbB66tNg==
1,2,1284758369,xBq4hMc+b55JKJepkoIEfA==
0,1,1460505611,/93Q5TGs9sZraRXUKK1UAw==
0,2,1460505611,3BWjnvJefMZlGvBhFt7wTg==
0,1,1460592003,igQLjENkZaKU2RTX7S5nug==
0,2,1460592003,bPozL5wWgb7qThyrTDwEsg==
0,1,1460678403,gfBBCJqqn3NhVozvVvNv9Q==
0,2,1460678403,ScCj/fSz1vpskbhLQXvWUA==
0,1,1460764801,9CGPx6Uh/C5630c6qVFX/A==
0,2,1460764801,rLSgFZH+lddTLMtJLjzZng==
0,1,1460851201,DcrM5NDsBEvs/GS/ENJVCw==
0,2,1460851201,5J3wCW8N15qsYLzcHhsDqw==
0,1,1460937603,2GN7zKaI39bjOD/ET4isDw==
0,2,1460937603,dkPIlODRHu2ysVy/MEc6pQ==
0,1,1461024004,0/C3BdkE5LQVJ6KoKKy47w==
0,2,1461024004,AVUbYOwOSaKBzDB+HHgseA==
0,1,1461110404,Xio7zXvayfiwFmmlBZ6K5g==
0,2,1461110404,+4wkTZMK/4uVGgx+EUt+AA==
0,1,1461196801,Ipm6cKZDR4Q8vrtI7zRrHg==
0,2,1461196801,c2+uMaA4gspDjITzWWZIsg==
0,1,1461283202,rIJlGI3WbM5aYzaZnmeR+g==
0,2,1461283202,YmKbc9MQ7b4+z1OEHwZxFA==
0,1,1461369601,sGTIASE6EnXE7xmXY6YMug==
0,2,1461369601,7lNea52AtNHmhn3Aa9tQ/g==
0,1,1461456004,8FTHDxd6hB4IyUEeMePe3Q==
0,2,1461456004,sPwwdzb/XDi2ecfMpQJA/w==
0,1,1461542401,8NsGFTrdC6Ow69iL+GKkLQ==
0,2,1461542401,tjYWVTR/PSeVGq+iAXancg==
0,1,1461628801,fYT2902RAfnUxfwFdw0W9g==
0,2,1461628801,+CNqYjJ+OOetgQxvAhqzaQ==
0,1,1461715205,FkOO6zRPOqRcSZZfovHeLw==
